Continente,Country,Promedio de Mortalididad Infantil,Promedio de Esperanza de vida,Poblacion
Europa,Estonia,7.87,76.7,1316481
Asia,Timor-Leste,35.1,68.1,1268671
África,Mauritius,15.03,75.6,1263473
África,Equatorial Guinea,85.13,64.2,1221490
Europa,Cyprus,7.18,78.7,1170125
África,Djibouti,104.13,63.2,942333
Oceanía,Fiji,12.62,72.7,898760
Asia,Bhutan,100.44,70.1,797765
África,Comoros,74.93,64.2,795601
América,Guyana,33.26,68.4,773303
Europa,Montserrat,7.35,74.4,622781
Asia,Macau,4.39,84.5,612167
Oceanía,Solomon Islands,21.29,75.3,599419
Europa,Luxembourg,4.81,82.3,582972
América,Suriname,23.57,72.2,558368
África,Cabo Verde,47.77,72.1,539560
Europa,Malta,3.89,80.4,436947
Asia,Brunei,12.61,77.2,423196
Asia,Maldives,56.52,75.6,417492
América,The Bahamas,25.21,72.4,391232
América,Belize,25.69,68.7,366954
Europa,Iceland,3.31,83,334252
América,Barbados,12.5,75.3,284996
Oceanía,French Polynesia,8.44,77.2,280208
Oceanía,New Caledonia,7.72,77.7,278000
Oceanía,Vanuatu,55.16,73.4,270402
África,Sao Tome and Principe,43.11,64.9,199910
Oceanía,Samoa,27.71,73.7,195125
América,Saint Lucia,13.53,77.8,178015
Europa,Guernsey,4.71,82.5,164541
Oceanía,Guam,6.94,79.58,162896
América,Curacao,7.5,77.82,159999
Oceanía,Kiribati,48.52,66.2,114395
América,Saint Vincent and the Grenadines,14.78,75.3,109643
América,Grenada,14.62,74.3,107317
Oceanía,Tonga,12.62,76.2,107122
Oceanía,Micronesia,30.21,72.9,104937
América,Aruba,5.89,76.8,104822
América,Virgin Islands,8.03,80,102951
América,Antigua and Barbuda,19.46,76.5,100963
África,Seychelles,15.53,74.7,94677
Europa,Isle of Man,5.93,81.2,83737
Europa,Andorra,4.05,82.8,77281
América,Dominica,14.15,77,73543
América,Bermuda,8.53,81.3,65331
América,Cayman Islands,8.19,81.2,60765
América,Greenland,15.82,72.4,56186
Oceanía,American Samoa,9.27,75.4,55599
Oceanía,Northern Mariana Islands,7.11,78,55023
América,Saint Kitts and Nevis,14.49,75.7,54821
Oceanía,Marshall Islands,29.45,73.1,53066
Europa,Faroe Islands,6.24,80.4,49117
América,Sint Maarten,8.1,78.1,40005
Europa,Monaco,5.43,89.5,38499
Europa,Liechtenstein,4.7,81.9,37666
América,Turks and Caicos Islands,15.67,79.8,34900
Europa,Gibraltar,5.13,79.4,34408
Europa,San Marino,5.73,83.3,33203
América,Saint Pierre and Miquelon,7.54,80.5,31949
América,British Virgin Islands,18.05,78.6,30661
Oceanía,Palau,14.84,73.1,21503
Oceanía,Nauru,9.95,67.1,13049
Oceanía,Tuvalu,20.03,66.5,11097
